snapshot_time,product_id,pricePerUnit,amount,orders,tier_rank
2025-04-28 18:24:02,INK_SACK:3,2.7,765158,12,0
2025-04-28 18:24:02,INK_SACK:3,2.6,425001,6,1
2025-04-28 18:24:02,INK_SACK:3,2.5,71680,1,2
2025-04-28 18:24:02,INK_SACK:3,2.4,730527,11,3
2025-04-28 18:24:02,INK_SACK:3,2.1,69917,1,4
2025-04-28 18:24:02,INK_SACK:3,1.9,9344,1,5
2025-04-28 18:24:02,INK_SACK:3,1.7,3255,1,6
2025-04-28 18:24:02,INK_SACK:3,1.6,160060,4,7
2025-04-28 18:24:02,INK_SACK:3,1.3,137929,2,8
2025-04-28 18:24:02,INK_SACK:3,1.1,629547,9,9
2025-04-28 18:24:02,INK_SACK:3,0.8,71600,1,10
2025-04-28 18:24:02,INK_SACK:3,0.7,345626,9,11
2025-04-28 18:24:02,INK_SACK:3,0.6,21480,5,12
2025-04-28 18:24:02,INK_SACK:3,0.5,215040,4,13
2025-04-28 18:24:02,INK_SACK:3,0.3,192438,7,14
2025-04-28 18:24:02,INK_SACK:3,0.2,14374,18,15
2025-04-28 18:24:02,INK_SACK:4,3.0,107484,2,0
2025-04-28 18:24:02,INK_SACK:4,2.9,143360,2,1
2025-04-28 18:24:02,INK_SACK:4,2.8,63395,4,2
2025-04-28 18:24:02,INK_SACK:4,2.5,183975,3,3
2025-04-28 18:24:02,INK_SACK:4,2.3,61686,1,4
2025-04-28 18:24:02,INK_SACK:4,2.1,50443,3,5
2025-04-28 18:24:02,INK_SACK:4,2.0,201098,3,6
2025-04-28 18:24:02,INK_SACK:4,1.9,282968,4,7
2025-04-28 18:24:02,INK_SACK:4,1.8,286720,6,8
2025-04-28 18:24:02,INK_SACK:4,1.5,1024,4,9
2025-04-28 18:24:02,INK_SACK:4,1.4,424077,8,10
2025-04-28 18:24:02,INK_SACK:4,1.3,2637752,38,11
2025-04-28 18:24:02,INK_SACK:4,1.2,71600,8,12
2025-04-28 18:24:02,INK_SACK:4,1.1,788480,13,13
2025-04-28 18:24:02,INK_SACK:4,0.6,71600,3,14
2025-04-28 18:24:02,CORRUPTED_BAIT,15.0,68999,1,0
2025-04-28 18:24:02,CORRUPTED_BAIT,14.9,721,1,1
2025-04-28 18:24:02,CORRUPTED_BAIT,14.8,11,1,2
2025-04-28 18:24:02,CORRUPTED_BAIT,14.7,70758,1,3
2025-04-28 18:24:02,CORRUPTED_BAIT,14.4,601,1,4
2025-04-28 18:24:02,CORRUPTED_BAIT,14.3,1839,1,5
2025-04-28 18:24:02,CORRUPTED_BAIT,14.2,25393,1,6
2025-04-28 18:24:02,CORRUPTED_BAIT,13.7,759,1,7
2025-04-28 18:24:02,CORRUPTED_BAIT,13.6,768,1,8
2025-04-28 18:24:02,CORRUPTED_BAIT,13.5,615,1,9
2025-04-28 18:24:02,CORRUPTED_BAIT,1.2,67900,1,10
2025-04-28 18:24:02,TARANTULA_WEB,690.2,233884,4,0
2025-04-28 18:24:02,TARANTULA_WEB,689.2,53870,1,1
2025-04-28 18:24:02,TARANTULA_WEB,601.8,3501,1,2
2025-04-28 18:24:02,TARANTULA_WEB,600.0,46932,1,3
2025-04-28 18:24:02,DARK_ORB,236917.1,43,1,0
2025-04-28 18:24:02,DARK_ORB,236917.0,4,1,1
2025-04-28 18:24:02,DARK_ORB,236916.6,84,1,2
2025-04-28 18:24:02,DARK_ORB,236916.4,219,1,3
2025-04-28 18:24:02,DARK_ORB,236915.9,40,1,4
2025-04-28 18:24:02,DARK_ORB,201909.6,1,1,5
2025-04-28 18:24:02,DARK_ORB,191482.9,1,2,6
2025-04-28 18:24:02,DARK_ORB,191481.4,15,2,7
2025-04-28 18:24:02,DARK_ORB,180500.2,23,1,8
2025-04-28 18:24:02,DARK_ORB,170002.8,4,1,9
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,61560.4,16,1,0
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,61560.3,65,1,1
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,61560.2,952,1,2
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,61560.1,960,1,3
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,61558.3,135,1,4
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,55572.4,250,1,5
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,55572.3,1996,1,6
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,55571.9,7,1,7
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,55571.7,3,1,8
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,55570.5,1994,1,9
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,55570.4,9,1,10
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,55568.1,5,1,11
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,47166.4,35,1,12
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,41224.6,63,1,13
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,32000.9,147,1,14
2025-04-28 18:24:02,ARCHITECT_FIRST_DRAFT,32000.2,64,2,15
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_7,45000000.5,3,1,0
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_7,45000000.3,1,1,1
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_7,45000000.2,1,1,2
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_7,40000000.8,2,1,3
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_7,40000000.2,3,1,4
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_7,34000007.4,1,2,5
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_7,30400593.7,1,1,6
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2682564.5,3,1,0
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2682564.3,2,1,1
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671798.6,2,1,2
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671798.5,2,1,3
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671798.4,3,1,4
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671796.2,2,1,5
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671793.6,1,1,6
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671789.5,8,1,7
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671786.6,4,1,8
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671785.8,30,1,9
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2671778.7,3,1,10
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2590338.0,10,1,11
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2590336.4,1,1,12
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2590336.3,1,1,13
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2590336.1,2,1,14
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2590334.5,1,1,15
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2543502.4,8,1,16
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2543498.2,4,1,17
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2543496.9,2,1,18
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2543492.1,48,1,19
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2543490.5,1,1,20
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2543487.1,2,1,21
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2367324.4,9,1,22
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2289989.8,2,1,23
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2252618.9,32,1,24
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,2208908.1,1,1,25
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,1779406.4,2,1,26
